>Feature	Ctg44_length_309375			
			locus_tag	LWC14_02169
79381	80928	CDS		
			product	kinetoplastid kinetochore protein 10
163073	173659	gene		
			locus_tag	LWC14_02170
173659	163073	CDS		
			product	ubiquitin ligase, putative
38962	42276	gene		
			locus_tag	LWC14_02171
38962	42276	CDS		
			product	cdc2-related kinase 12
12207	12524	gene		
			locus_tag	LWC14_02172
12207	12524	CDS		
			product	hypothetical protein, conserved
236500	242028	gene		
			locus_tag	LWC14_02173
242028	236500	CDS		
			product	hypothetical protein
131147	133366	gene		
			locus_tag	LWC14_02174
131147	133366	CDS		
			product	hypothetical protein
117825	119072	gene		
			locus_tag	LWC14_02175
117825	119072	CDS		
			product	hypothetical protein, conserved
202564	203619	gene		
			locus_tag	LWC14_02176
203619	202564	CDS		
			product	hypothetical protein, conserved
67303	68079	gene		
			locus_tag	LWC14_02177
67303	68079	CDS		
			product	hypothetical protein, conserved
12916	14427	gene		
			locus_tag	LWC14_02178
12916	14427	CDS		
			product	hypothetical protein
119345	121915	gene		
			locus_tag	LWC14_02179
119345	121915	CDS		
			product	Flagellum attachment zone protein 3
71829	78629	gene		
			locus_tag	LWC14_02180
71829	78629	CDS		
			product	hypothetical protein, conserved
181673	182404	gene		
			locus_tag	LWC14_02181
182404	181673	CDS		
			product	cAMP response protein, putative
229280	230995	gene		
			locus_tag	LWC14_02182
230995	229280	CDS		
			product	hypothetical protein, conserved
225929	228220	gene		
			locus_tag	LWC14_02183
228220	225929	CDS		
			product	O-phosphoseryl-tRNA(Sec) selenium transferase, putative
87900	90272	gene		
			locus_tag	LWC14_02184
87900	90272	CDS		
			product	Bardet-Biedl syndrome 8 protein
154273	155085	gene		
			locus_tag	LWC14_02185
154273	155085	CDS		
			product	hypothetical protein, conserved
243404	244315	gene		
			locus_tag	LWC14_02186
244315	243404	CDS		
			product	PUB domain containing protein, putative
127929	129155	gene		
			locus_tag	LWC14_02187
127929	129155	CDS		
			product	hypothetical protein, conserved
221360	225583	gene		
			locus_tag	LWC14_02188
225583	221360	CDS		
			product	translation-associated element 2, putative
15139	16098	gene		
			locus_tag	LWC14_02189
15139	16098	CDS		
			product	Domain of unknown function (DUF4586), putative
139772	143662	gene		
			locus_tag	LWC14_02190
139772	143662	CDS		
			product	hypothetical protein, conserved
205278	215321	gene		
			locus_tag	LWC14_02191
215321	205278	CDS		
			product	phospholipid-transporting ATPase, putative
83261	84928	gene		
			locus_tag	LWC14_02192
83261	84928	CDS		
			product	kinetoplastid kinetochore protein 19
85555	87201	gene		
			locus_tag	LWC14_02193
85555	87201	CDS		
			product	Plus-3 domain/Zinc finger, C3HC4 type (RING finger), putative
188439	189074	gene		
			locus_tag	LWC14_02194
189074	188439	CDS		
			product	prefoldin subunit, putative
189352	191469	gene		
			locus_tag	LWC14_02195
191469	189352	CDS		
			product	hypothetical protein, conserved
194618	195883	gene		
			locus_tag	LWC14_02196
195883	194618	CDS		
			product	Uncharacterised protein family (UPF0160), putative
196200	197054	gene		
			locus_tag	LWC14_02197
197054	196200	CDS		
			product	ras-like small GTPase, putative
197399	197788	gene		
			locus_tag	LWC14_02198
197788	197399	CDS		
			product	hypothetical protein, conserved
7767	8792	gene		
			locus_tag	LWC14_02199
7767	8792	CDS		
			product	hypothetical protein
9107	9844	gene		
			locus_tag	LWC14_02200
9107	9844	CDS		
			product	hypothetical protein
10322	11362	gene		
			locus_tag	LWC14_02201
10322	11362	CDS		
			product	hypothetical protein
1535	1924	gene		
			locus_tag	LWC14_02202
1535	1924	CDS		
			product	hypothetical protein
2838	3191	gene		
			locus_tag	LWC14_02203
2838	3191	CDS		
			product	hypothetical protein
133886	137614	gene		
			locus_tag	LWC14_02204
133886	137614	CDS		
			product	ATP-dependent DNA helicase, putative
137974	139167	gene		
			locus_tag	LWC14_02205
137974	139167	CDS		
			product	cyclin 1
152176	153165	gene		
			locus_tag	LWC14_02206
152176	153165	CDS		
			product	Methyltransferase TYW3, putative
153441	153872	gene		
			locus_tag	LWC14_02207
153441	153872	CDS		
			product	prefoldin subunit 2, putative
53375	56857	gene		
			locus_tag	LWC14_02208
53375	56857	CDS		
			product	DNA photolyase, putative
57132	57851	gene		
			locus_tag	LWC14_02209
57132	57851	CDS		
			product	ankyrin repeat protein, putative
59753	63214	gene		
			locus_tag	LWC14_02210
59753	63214	CDS		
			product	hypothetical protein
66710	66949	gene		
			locus_tag	LWC14_02211
66710	66949	CDS		
			product	hypothetical protein
4324	4707	gene		
			locus_tag	LWC14_02212
4324	4707	CDS		
			product	hypothetical protein
5621	5974	gene		
			locus_tag	LWC14_02213
5621	5974	CDS		
			product	hypothetical protein
174381	178262	gene		
			locus_tag	LWC14_02214
178262	174381	CDS		
			product	acyl-CoA binding protein, putative
178889	181267	gene		
			locus_tag	LWC14_02215
181267	178889	CDS		
			product	oligopeptidase b
35680	37632	gene		
			locus_tag	LWC14_02216
35680	37632	CDS		
			product	hypothetical protein, conserved
37917	38594	gene		
			locus_tag	LWC14_02217
37917	38594	CDS		
			product	hypothetical protein, conserved
94126	94485	gene		
			locus_tag	LWC14_02218
94126	94485	CDS		
			product	hypothetical protein
95590	97590	gene		
			locus_tag	LWC14_02219
95590	97590	CDS		
			product	hypothetical protein
98618	99067	gene		
			locus_tag	LWC14_02220
98618	99067	CDS		
			product	hypothetical protein
99877	101970	gene		
			locus_tag	LWC14_02221
99877	101970	CDS		
			product	hypothetical protein
244528	244598	gene		
			locus_tag	LWC14_07279
244528	244598	tRNA		
			product	tRNA-His(gtg)
244651	244722	gene		
			locus_tag	LWC14_07280
244722	244651	tRNA		
			product	tRNA-Glu(ttc)
244823	244895	gene		
			locus_tag	LWC14_07281
244823	244895	tRNA		
			product	tRNA-Phe(gaa)
>Feature	Ctg34_length_306897			
162007	164085	gene		
			locus_tag	LWC14_02222
164085	162007	CDS		
			product	proteasome regulatory non-ATPase subunit 6
265712	266692	gene		
			locus_tag	LWC14_02223
265712	266692	CDS		
			product	mitochondrial carrier protein
236101	251673	gene		
			locus_tag	LWC14_02224
236101	251673	CDS		
			product	hypothetical protein, conserved
42585	44237	gene		
			locus_tag	LWC14_02225
42585	44237	CDS		
			product	expression site-associated gene 3 (ESAG3)-like protein
53544	54290	gene		
			locus_tag	LWC14_02226
54290	53544	CDS		
			product	cytochrome b5, putative
193949	194485	gene		
			locus_tag	LWC14_02227
194485	193949	CDS		
			product	hypothetical protein
197072	202564	gene		
			locus_tag	LWC14_02228
202564	197072	CDS		
			product	hypothetical protein
17694	19289	gene		
			locus_tag	LWC14_02229
19289	17694	CDS		
			product	expression site-associated gene (ESAG) protein, putative
159396	161255	gene		
			locus_tag	LWC14_02230
161255	159396	CDS		
			product	casein kinase II, alpha chain
280673	282034	gene		
			locus_tag	LWC14_02231
280673	282034	CDS		
			product	hypothetical protein
164498	166036	gene		
			locus_tag	LWC14_02232
166036	164498	CDS		
			product	ribosomal RNA methyltransferase, putative
167455	171267	gene		
			locus_tag	LWC14_02233
171267	167455	CDS		
			product	Kinetoplastid RNA editing protein 1
229961	232279	gene		
			locus_tag	LWC14_02234
229961	232279	CDS		
			product	hypothetical protein
277035	279599	gene		
			locus_tag	LWC14_02235
277035	279599	CDS		
			product	ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative
215074	223308	gene		
			locus_tag	LWC14_02236
223308	215074	CDS		
			product	STE/STE7 protein kinase, putative
285453	286808	gene		
			locus_tag	LWC14_02237
285453	286808	CDS		
			product	hypothetical protein
255506	256189	gene		
			locus_tag	LWC14_02238
255506	256189	CDS		
			product	hypothetical protein
132787	135813	gene		
			locus_tag	LWC14_02239
135813	132787	CDS		
			product	hypothetical protein
38856	41852	gene		
			locus_tag	LWC14_02240
38856	41852	CDS		
			product	hypothetical protein
212486	213793	gene		
			locus_tag	LWC14_02241
213793	212486	CDS		
			product	hypothetical protein
78756	81896	gene		
			locus_tag	LWC14_02242
81896	78756	CDS		
			product	zinc finger protein family member, putative
257747	259768	gene		
			locus_tag	LWC14_02243
257747	259768	CDS		
			product	hypothetical protein, conserved
273243	276161	gene		
			locus_tag	LWC14_02244
273243	276161	CDS		
			product	Component of motile flagella 76
88605	98597	gene		
			locus_tag	LWC14_02245
98597	88605	CDS		
			product	phosphatidylinositol kinase related protein, putative
24810	26408	gene		
			locus_tag	LWC14_02246
26408	24810	CDS		
			product	expression site-associated gene (ESAG) protein, putative
283112	284770	gene		
			locus_tag	LWC14_02247
283112	284770	CDS		
			product	expression site-associated gene 3 (ESAG3) protein, putative
206285	209449	gene		
			locus_tag	LWC14_02248
209449	206285	CDS		
			product	hypothetical protein, conserved
261987	265277	gene		
			locus_tag	LWC14_02249
261987	265277	CDS		
			product	Nop14-like family, putative
148202	149827	gene		
			locus_tag	LWC14_02250
149827	148202	CDS		
			product	paraflagellar rod component, putative
143687	144199	gene		
			locus_tag	LWC14_02251
144199	143687	CDS		
			product	hypothetical protein, conserved
252276	254666	gene		
			locus_tag	LWC14_02252
252276	254666	CDS		
			product	TPR repeat/Tetratricopeptide repeat, putative
127755	128516	gene		
			locus_tag	LWC14_02253
128516	127755	CDS		
			product	Gp63-1 surface protease homolog, putative
2875	3285	gene		
			locus_tag	LWC14_02254
3285	2875	CDS		
			product	hypothetical protein
166469	167122	gene		
			locus_tag	LWC14_02255
167122	166469	CDS		
			product	ubiquitin-conjugating enzyme E2, putative
177360	178943	gene		
			locus_tag	LWC14_02256
178943	177360	CDS		
			product	amino acid transporter, putative
185418	186179	gene		
			locus_tag	LWC14_02257
186179	185418	CDS		
			product	Ribosome biogenesis protein SLX9, putative
144766	147399	gene		
			locus_tag	LWC14_02258
147399	144766	CDS		
			product	Serine/threonine-protein kinase NEK22, putative
106771	107601	gene		
			locus_tag	LWC14_02259
107601	106771	CDS		
			product	hypothetical protein, conserved
684	968	gene		
			locus_tag	LWC14_02260
968	684	CDS		
			product	hypothetical protein
270232	272460	gene		
			locus_tag	LWC14_02261
270232	272460	CDS		
			product	hypothetical protein, conserved
59359	65529	gene		
			locus_tag	LWC14_02262
65529	59359	CDS		
			product	Repressor of differentiation kinase 1
73425	75368	gene		
			locus_tag	LWC14_02263
75368	73425	CDS		
			product	hypothetical protein, conserved
71635	72825	gene		
			locus_tag	LWC14_02264
72825	71635	CDS		
			product	hypothetical protein
55900	57600	gene		
			locus_tag	LWC14_02265
57600	55900	CDS		
			product	hypothetical protein
171843	175928	gene		
			locus_tag	LWC14_02266
175928	171843	CDS		
			product	hypothetical protein
155513	158614	gene		
			locus_tag	LWC14_02267
158614	155513	CDS		
			product	hypothetical protein, conserved
83511	87986	gene		
			locus_tag	LWC14_02268
87986	83511	CDS		
			product	exportin-T, putative
288033	289355	gene		
			locus_tag	LWC14_02269
288033	289355	CDS		
			product	hypothetical protein
210250	210729	gene		
			locus_tag	LWC14_02270
210729	210250	CDS		
			product	paraflagellar rod component, putative
296818	298002	gene		
			locus_tag	LWC14_02271
296818	298002	CDS		
			product	hypothetical protein
119361	120740	gene		
			locus_tag	LWC14_02272
120740	119361	CDS		
			product	hypothetical protein
121536	123752	gene		
			locus_tag	LWC14_02273
123752	121536	CDS		
			product	hypothetical protein
117105	117839	gene		
			locus_tag	LWC14_02274
117839	117105	CDS		
			product	Vps51/Vps67, putative
108188	111898	gene		
			locus_tag	LWC14_02275
111898	108188	CDS		
			product	Ankyrin repeats (3 copies)/Zinc finger, C3HC4 type (RING finger), putative
141841	142626	gene		
			locus_tag	LWC14_02276
142626	141841	CDS		
			product	small GTP-binding protein RAB6, putative
191049	191996	gene		
			locus_tag	LWC14_02277
191996	191049	CDS		
			product	hypothetical protein
192106	193356	gene		
			locus_tag	LWC14_02278
193356	192106	CDS		
			product	hypothetical protein
302410	302778	gene		
			locus_tag	LWC14_02279
302410	302778	CDS		
			product	glycosyltransferase (GlcNAc), putative
138151	139590	gene		
			locus_tag	LWC14_02280
139590	138151	CDS		
			product	hypothetical protein
151795	152592	gene		
			locus_tag	LWC14_02281
152592	151795	CDS		
			product	hypothetical protein
153995	155272	gene		
			locus_tag	LWC14_02282
155272	153995	CDS		
			product	hypothetical protein
8681	9625	gene		
			locus_tag	LWC14_02283
9625	8681	CDS		
			product	expression site-associated gene 3 (ESAG3)-like protein
10746	11738	gene		
			locus_tag	LWC14_02284
11738	10746	CDS		
			product	hypothetical protein
12677	14410	gene		
			locus_tag	LWC14_02285
14410	12677	CDS		
			product	hypothetical protein
293268	293984	gene		
			locus_tag	LWC14_02286
293268	293984	CDS		
			product	glycosyltransferase (GlcNAc), putative
294238	295593	gene		
			locus_tag	LWC14_02287
294238	295593	CDS		
			product	hypothetical protein
225340	227079	gene		
			locus_tag	LWC14_02288
227079	225340	CDS		
			product	ABC transporter, mitochondrial, putative
227204	227446	gene		
			locus_tag	LWC14_02289
227446	227204	CDS		
			product	hypothetical protein
141591	141664	gene		
			locus_tag	LWC14_07301
141591	141664	tRNA		
			product	tRNA-Val(cac)
>Feature	Ctg8_length_1014657			
949928	950479	gene		
			locus_tag	LWC14_02290
949928	950479	CDS		
			product	hypothetical protein, conserved
234545	238015	gene		
			locus_tag	LWC14_02291
234545	238015	CDS		
			product	Pseudokinase, putative
504660	508412	gene		
			locus_tag	LWC14_02292
508412	504660	CDS		
			product	U5 small nuclear ribonucleoprotein component, putative
93134	94339	gene		
			locus_tag	LWC14_02293
93134	94339	CDS		
			product	cyclin 2
66488	67831	gene		
			locus_tag	LWC14_02294
66488	67831	CDS		
			product	cyclin 9
793669	796698	gene		
			locus_tag	LWC14_02295
793669	796698	CDS		
			product	hypothetical protein, conserved
451775	452116	gene		
			locus_tag	LWC14_02296
452116	451775	CDS		
			product	hypothetical protein, conserved
992219	992800	gene		
			locus_tag	LWC14_02297
992219	992800	CDS		
			product	Cytochrome b-c1 complex subunit, putative
403287	403871	gene		
			locus_tag	LWC14_02298
403871	403287	CDS		
			product	iron superoxide dismutase
454394	455230	gene		
			locus_tag	LWC14_02299
455230	454394	CDS		
			product	hypothetical protein, conserved
40464	44057	gene		
			locus_tag	LWC14_02300
40464	44057	CDS		
			product	kinesin-II 85 Kd subunit, putative
364023	366425	gene		
			locus_tag	LWC14_02301
366425	364023	CDS		
			product	hypothetical protein, conserved
371270	372337	gene		
			locus_tag	LWC14_02302
372337	371270	CDS		
			product	coatomer subunit epsilon
23860	24903	gene		
			locus_tag	LWC14_02303
23860	24903	CDS		
			product	DnaJ domain containing protein, putative
912499	912828	gene		
			locus_tag	LWC14_02304
912499	912828	CDS		
			product	hypothetical protein, conserved
523987	524835	gene		
			locus_tag	LWC14_02305
524835	523987	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
327454	333396	gene		
			locus_tag	LWC14_02306
333396	327454	CDS		
			product	DNA repair and recombination helicase protein PIF4
719846	722050	gene		
			locus_tag	LWC14_02307
722050	719846	CDS		
			product	DNA replication licensing factor MCM7
293306	304363	gene		
			locus_tag	LWC14_02308
304363	293306	CDS		
			product	phosphatidylinositol 3-related kinase, putative
698921	701365	gene		
			locus_tag	LWC14_02309
701365	698921	CDS		
			product	Outer dynein arm docking complex protein 2, putative
86143	91071	gene		
			locus_tag	LWC14_02310
86143	91071	CDS		
			product	Repressor of differentiation kinase 1
36606	37448	gene		
			locus_tag	LWC14_02311
36606	37448	CDS		
			product	AKAP7 2'5' RNA ligase-like domain containing protein, putative
520228	521166	gene		
			locus_tag	LWC14_02312
521166	520228	CDS		
			product	heat shock protein Hsp20, putative
28832	30112	gene		
			locus_tag	LWC14_02313
28832	30112	CDS		
			product	hypothetical protein, conserved
745863	747251	gene		
			locus_tag	LWC14_02314
745863	747251	CDS		
			product	chaperone protein DnaJ, putative
605171	612706	gene		
			locus_tag	LWC14_02315
612706	605171	CDS		
			product	RNA methyltransferase, putative
712651	715566	gene		
			locus_tag	LWC14_02316
715566	712651	CDS		
			product	tubulin-tyrosine ligase, putative
646077	650288	gene		
			locus_tag	LWC14_02317
650288	646077	CDS		
			product	Nucleoporin NUP109
766182	769718	gene		
			locus_tag	LWC14_02318
766182	769718	CDS		
			product	VSG exclusion protein 1
4843	5454	gene		
			locus_tag	LWC14_02319
4843	5454	CDS		
			product	hypothetical protein
186092	187270	gene		
			locus_tag	LWC14_02320
186092	187270	CDS		
			product	mitochondrial carrier protein
576749	580753	gene		
			locus_tag	LWC14_02321
580753	576749	CDS		
			product	U5 snRNP-associated 102 kDa protein, putative
623837	624238	gene		
			locus_tag	LWC14_02322
624238	623837	CDS		
			product	60S ribosomal protein L27, putative
53088	54266	gene		
			locus_tag	LWC14_02323
53088	54266	CDS		
			product	Mut7-C RNAse domain containing protein, putative
709229	711871	gene		
			locus_tag	LWC14_02324
711871	709229	CDS		
			product	integrin alpha chain protein, putative
634916	640717	gene		
			locus_tag	LWC14_02325
640717	634916	CDS		
			product	Guanine nucleotide exchange factor in Golgi transport N-terminal/Sec7 domain containing protein, putative
536018	537688	gene		
			locus_tag	LWC14_02326
537688	536018	CDS		
			product	C-14 sterol reductase, putative
517352	519640	gene		
			locus_tag	LWC14_02327
519640	517352	CDS		
			product	methionyl-tRNA formyltransferase, putative
565585	567045	gene		
			locus_tag	LWC14_02328
567045	565585	CDS		
			product	NOL1/NOP2/sun family, putative
540512	541525	gene		
			locus_tag	LWC14_02329
541525	540512	CDS		
			product	NADH-cytochrome b5 reductase, putative
886560	890132	gene		
			locus_tag	LWC14_02330
886560	890132	CDS		
			product	hypothetical protein, conserved
891858	892535	gene		
			locus_tag	LWC14_02331
891858	892535	CDS		
			product	hypothetical protein
159377	161044	gene		
			locus_tag	LWC14_02332
159377	161044	CDS		
			product	atypical dual specificity phosphatase, putative
525951	529439	gene		
			locus_tag	LWC14_02333
529439	525951	CDS		
			product	hypothetical protein
133692	134708	gene		
			locus_tag	LWC14_02334
133692	134708	CDS		
			product	ubiquitin-conjugating enzyme CDC34
585015	590561	gene		
			locus_tag	LWC14_02335
590561	585015	CDS		
			product	AMP deaminase, putative
412905	417989	gene		
			locus_tag	LWC14_02336
417989	412905	CDS		
			product	hypothetical protein
558497	561337	gene		
			locus_tag	LWC14_02337
561337	558497	CDS		
			product	hypothetical protein, conserved
545817	548264	gene		
			locus_tag	LWC14_02338
548264	545817	CDS		
			product	Pentatricopeptide repeat protein (PPR), putative
99388	101643	gene		
			locus_tag	LWC14_02339
99388	101643	CDS		
			product	Double RNA binding domain protein 18
232961	233545	gene		
			locus_tag	LWC14_02340
232961	233545	CDS		
			product	RNA polymerase subunit, putative
340351	341157	gene		
			locus_tag	LWC14_02341
341157	340351	CDS		
			product	chromosomal passenger complex 2
338913	339896	gene		
			locus_tag	LWC14_02342
339896	338913	CDS		
			product	hypothetical protein
108763	110796	gene		
			locus_tag	LWC14_02343
108763	110796	CDS		
			product	TFIIH basal transcription factor subunit
1000051	1001211	gene		
			locus_tag	LWC14_02344
1001211	1000051	CDS		
			product	expression site-associated gene (ESAG) protein, putative
548912	549760	gene		
			locus_tag	LWC14_02345
549760	548912	CDS		
			product	hypothetical protein
840967	845313	gene		
			locus_tag	LWC14_02346
840967	845313	CDS		
			product	hypothetical protein, conserved
452771	453646	gene		
			locus_tag	LWC14_02347
453646	452771	CDS		
			product	TLR4 regulator and MIR-interacting MSAP, putative
392551	395088	gene		
			locus_tag	LWC14_02348
395088	392551	CDS		
			product	hypothetical protein, conserved
38911	39753	gene		
			locus_tag	LWC14_02349
38911	39753	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative
921802	922233	gene		
			locus_tag	LWC14_02350
921802	922233	CDS		
			product	hypothetical protein
96172	97893	gene		
			locus_tag	LWC14_02351
96172	97893	CDS		
			product	hypothetical protein
851476	855804	gene		
			locus_tag	LWC14_02352
851476	855804	CDS		
			product	hypothetical protein
63147	64439	gene		
			locus_tag	LWC14_02353
63147	64439	CDS		
			product	hypothetical protein, conserved
427838	429874	gene		
			locus_tag	LWC14_02354
429874	427838	CDS		
			product	Vitamin B6 photo-protection and homoeostasis, putative
113901	114437	gene		
			locus_tag	LWC14_02355
113901	114437	CDS		
			product	ribosomal protein L18, putative
655727	657127	gene		
			locus_tag	LWC14_02356
657127	655727	CDS		
			product	RNA-binding protein, putative
146711	150235	gene		
			locus_tag	LWC14_02357
146711	150235	CDS		
			product	Regulator of ESAG9-1
187891	189015	gene		
			locus_tag	LWC14_02358
187891	189015	CDS		
			product	mitochondrial carrier protein
902392	907947	gene		
			locus_tag	LWC14_02359
902392	907947	CDS		
			product	SUMO-interacting motif-containing protein
436982	437941	gene		
			locus_tag	LWC14_02360
437941	436982	CDS		
			product	DnaJ homolog, putative
320506	324237	gene		
			locus_tag	LWC14_02361
324237	320506	CDS		
			product	Clustered mitochondria/Translation initiation factor eIF3 subunit 135, putative
941749	944055	gene		
			locus_tag	LWC14_02362
941749	944055	CDS		
			product	cyclin dependent kinases regulatory subunit, putative
367481	370657	gene		
			locus_tag	LWC14_02363
370657	367481	CDS		
			product	DNA polymerase alpha/epsilon subunit B, putative
884273	886123	gene		
			locus_tag	LWC14_02364
884273	886123	CDS		
			product	hypothetical protein, conserved
12673	14343	gene		
			locus_tag	LWC14_02365
12673	14343	CDS		
			product	hypothetical protein
567481	569010	gene		
			locus_tag	LWC14_02366
569010	567481	CDS		
			product	mitochondrial RNA binding complex 1 subunit
161311	164898	gene		
			locus_tag	LWC14_02367
161311	164898	CDS		
			product	STE group serine/threonine-protein kinase, putative
802586	804946	gene		
			locus_tag	LWC14_02368
802586	804946	CDS		
			product	hypothetical protein
996613	997539	gene		
			locus_tag	LWC14_02369
996613	997539	CDS		
			product	Gar1/Naf1 RNA binding region, putative
46754	47629	gene		
			locus_tag	LWC14_02370
46754	47629	CDS		
			product	hypothetical protein
758662	761331	gene		
			locus_tag	LWC14_02371
758662	761331	CDS		
			product	MIZ/SP-RING zinc finger, putative
917709	918632	gene		
			locus_tag	LWC14_02372
917709	918632	CDS		
			product	Methyltransferase TYW3, putative
477994	482022	gene		
			locus_tag	LWC14_02373
482022	477994	CDS		
			product	hypothetical protein
798368	799045	gene		
			locus_tag	LWC14_02374
798368	799045	CDS		
			product	Rab-like 5, small G protein
909248	912178	gene		
			locus_tag	LWC14_02375
909248	912178	CDS		
			product	hypothetical protein, conserved
103601	107851	gene		
			locus_tag	LWC14_02376
103601	107851	CDS		
			product	Double RNA-binding domain containing protein 4
411470	412384	gene		
			locus_tag	LWC14_02377
412384	411470	CDS		
			product	Ribonuclease D
824716	827898	gene		
			locus_tag	LWC14_02378
824716	827898	CDS		
			product	hypothetical protein
228784	232068	gene		
			locus_tag	LWC14_02379
228784	232068	CDS		
			product	hypothetical protein
25230	28169	gene		
			locus_tag	LWC14_02380
25230	28169	CDS		
			product	hypothetical protein, conserved
563042	565243	gene		
			locus_tag	LWC14_02381
565243	563042	CDS		
			product	hypothetical protein, conserved
54811	55200	gene		
			locus_tag	LWC14_02382
54811	55200	CDS		
			product	U6 snRNA-associated Sm-like protein LSm4p
641167	645579	gene		
			locus_tag	LWC14_02383
645579	641167	CDS		
			product	hypothetical protein
318764	319972	gene		
			locus_tag	LWC14_02384
319972	318764	CDS		
			product	PSP1 C-terminal conserved region, putative
657868	659121	gene		
			locus_tag	LWC14_02385
659121	657868	CDS		
			product	proteasome regulatory non-ATP-ase subunit 7
786317	787885	gene		
			locus_tag	LWC14_02386
786317	787885	CDS		
			product	Guide RNA binding complex protein 3
758013	758378	gene		
			locus_tag	LWC14_02387
758013	758378	CDS		
			product	hypothetical protein, conserved
213557	216412	gene		
			locus_tag	LWC14_02388
213557	216412	CDS		
			product	hypothetical protein, conserved
651029	655309	gene		
			locus_tag	LWC14_02389
655309	651029	CDS		
			product	hypothetical protein, conserved
473499	477269	gene		
			locus_tag	LWC14_02390
477269	473499	CDS		
			product	hypothetical protein, conserved
663981	665315	gene		
			locus_tag	LWC14_02391
665315	663981	CDS		
			product	prefoldin subunit, putative
425646	426878	gene		
			locus_tag	LWC14_02392
426878	425646	CDS		
			product	Tb5.20
702605	708721	gene		
			locus_tag	LWC14_02393
708721	702605	CDS		
			product	ubiquitin carboxyl-terminal hydrolase, putative
44961	45641	gene		
			locus_tag	LWC14_02394
44961	45641	CDS		
			product	U3 small nucleolar ribonucleoprotein protein IMP3, putative
789281	791857	gene		
			locus_tag	LWC14_02395
789281	791857	CDS		
			product	hypothetical protein
602610	603650	gene		
			locus_tag	LWC14_02396
603650	602610	CDS		
			product	iron superoxide dismutase C, mitochondrial
510894	513830	gene		
			locus_tag	LWC14_02397
513830	510894	CDS		
			product	hypothetical protein
575628	576374	gene		
			locus_tag	LWC14_02398
576374	575628	CDS		
			product	hypothetical protein, conserved
813578	816748	gene		
			locus_tag	LWC14_02399
813578	816748	CDS		
			product	mitogen-activated protein kinase
840205	840570	gene		
			locus_tag	LWC14_02400
840205	840570	CDS		
			product	hypothetical protein, conserved
156595	158208	gene		
			locus_tag	LWC14_02401
156595	158208	CDS		
			product	T-complex protein 1, epsilon subunit, putative
865512	868448	gene		
			locus_tag	LWC14_02402
865512	868448	CDS		
			product	Uncharacterised protein family UPF0564, putative
463337	466483	gene		
			locus_tag	LWC14_02403
466483	463337	CDS		
			product	hypothetical protein
471744	473147	gene		
			locus_tag	LWC14_02404
473147	471744	CDS		
			product	eRF1 methyltransferase catalytic subunit, putative
876692	877678	gene		
			locus_tag	LWC14_02405
876692	877678	CDS		
			product	exosome-associated protein 2
494471	499273	gene		
			locus_tag	LWC14_02406
499273	494471	CDS		
			product	hypothetical protein, conserved
304860	305795	gene		
			locus_tag	LWC14_02407
305795	304860	CDS		
			product	Microtubule-binding protein MIP-T3, putative
276546	279737	gene		
			locus_tag	LWC14_02408
279737	276546	CDS		
			product	ATP-dependent DNA DEAD/DEAH box helicase, putative
897009	898568	gene		
			locus_tag	LWC14_02409
897009	898568	CDS		
			product	Methyltransferase-associated protein
621685	623235	gene		
			locus_tag	LWC14_02410
623235	621685	CDS		
			product	hypothetical protein, conserved
594977	595501	gene		
			locus_tag	LWC14_02411
595501	594977	CDS		
			product	hypothetical protein, conserved
837052	838800	gene		
			locus_tag	LWC14_02412
837052	838800	CDS		
			product	mitotic cyclin 6
873365	875533	gene		
			locus_tag	LWC14_02413
873365	875533	CDS		
			product	zinc-finger of a C2HC-type, putative
964522	967422	gene		
			locus_tag	LWC14_02414
964522	967422	CDS		
			product	TFIIH basal transcription factor complex helicase XPB subunit, putative
395513	396004	gene		
			locus_tag	LWC14_02415
396004	395513	CDS		
			product	hypothetical protein
457479	458132	gene		
			locus_tag	LWC14_02416
458132	457479	CDS		
			product	Ras-related protein RAB2B, putative
361314	363560	gene		
			locus_tag	LWC14_02417
363560	361314	CDS		
			product	hypothetical protein
399240	401522	gene		
			locus_tag	LWC14_02418
401522	399240	CDS		
			product	Serine/threonine-protein kinase NEK21, putative
808468	809925	gene		
			locus_tag	LWC14_02419
808468	809925	CDS		
			product	dynein light intermediate chain D1bLIC, putative
614837	616330	gene		
			locus_tag	LWC14_02420
616330	614837	CDS		
			product	L-Lysine transport protein, putative
48464	49216	gene		
			locus_tag	LWC14_02421
48464	49216	CDS		
			product	ubiquitin-conjugating enzyme E2, putative
785238	785732	gene		
			locus_tag	LWC14_02422
785238	785732	CDS		
			product	NADH-ubiquinone oxidoreductase B8 subunit
918907	921201	gene		
			locus_tag	LWC14_02423
918907	921201	CDS		
			product	enolase, putative
939985	940416	gene		
			locus_tag	LWC14_02424
939985	940416	CDS		
			product	hypothetical protein
736602	737957	gene		
			locus_tag	LWC14_02425
736602	737957	CDS		
			product	Domain of unknown function DUF21, putative
209625	213020	gene		
			locus_tag	LWC14_02426
209625	213020	CDS		
			product	Pentatricopeptide repeat protein (PPR), putative
111345	112916	gene		
			locus_tag	LWC14_02427
111345	112916	CDS		
